A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,A1 NumberofShells,A2 NumberofShells,B NumberofShells,X1 NumberofShells,X2 NumberofShells,X3 NumberofShells,X4 NumberofShells,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X1 FirstIonization,X2 FirstIonization,X3 FirstIonization,X4 FirstIonization,A1 AtomicMass,A2 AtomicMass,B AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,A1 MeltingPoint,A2 MeltingPoint,B MeltingPoint,X1 MeltingPoint,X2 MeltingPoint,X3 MeltingPoint,X4 MeltingPoint,Efa (eV/atom)
19,19,50,35,35,35,35,20,20,69,45,45,45,45,4,4,5,4,4,4,4,0.757,0.757,0.228,0.474,0.474,0.474,0.474,0.862,0.862,7.29,3.12,3.12,3.12,3.12,2.8,2.8,1.7,1.1,1.1,1.1,1.1,4.3407,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,39.098,39.098,118.71,79.904,79.904,79.904,79.904,336.5,336.5,505.21,266.05,266.05,266.05,266.05,-0.268863802
37,37,50,35,35,35,35,48,48,69,45,45,45,45,5,5,5,4,4,4,4,0.363,0.363,0.228,0.474,0.474,0.474,0.474,1.53,1.53,7.29,3.12,3.12,3.12,3.12,3,3,1.7,1.1,1.1,1.1,1.1,4.1771,4.1771,7.3439,11.8138,11.8138,11.8138,11.8138,85.468,85.468,118.71,79.904,79.904,79.904,79.904,312.79,312.79,505.21,266.05,266.05,266.05,266.05,-0.273108212
55,55,50,35,35,35,35,78,78,69,45,45,45,45,6,6,5,4,4,4,4,0.242,0.242,0.228,0.474,0.474,0.474,0.474,1.87,1.87,7.29,3.12,3.12,3.12,3.12,3.3,3.3,1.7,1.1,1.1,1.1,1.1,3.8939,3.8939,7.3439,11.8138,11.8138,11.8138,11.8138,132.905,132.905,118.71,79.904,79.904,79.904,79.904,301.7,301.7,505.21,266.05,266.05,266.05,266.05,-0.325914625
3,3,82,35,35,35,35,4,4,125,45,45,45,45,2,2,6,4,4,4,4,3.582,3.582,0.129,0.474,0.474,0.474,0.474,0.534,0.534,11.3,3.12,3.12,3.12,3.12,2.1,2.1,1.8,1.1,1.1,1.1,1.1,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,11.8138,6.941,6.941,207.2,79.904,79.904,79.904,79.904,453.85,453.85,600.75,266.05,266.05,266.05,266.05,0.253416571
11,11,82,35,35,35,35,12,12,125,45,45,45,45,3,3,6,4,4,4,4,1.228,1.228,0.129,0.474,0.474,0.474,0.474,0.971,0.971,11.3,3.12,3.12,3.12,3.12,2.2,2.2,1.8,1.1,1.1,1.1,1.1,5.1391,5.1391,7.4167,11.8138,11.8138,11.8138,11.8138,22.99,22.99,207.2,79.904,79.904,79.904,79.904,371.15,371.15,600.75,266.05,266.05,266.05,266.05,-0.555496983
19,19,82,35,35,35,35,20,20,125,45,45,45,45,4,4,6,4,4,4,4,0.757,0.757,0.129,0.474,0.474,0.474,0.474,0.862,0.862,11.3,3.12,3.12,3.12,3.12,2.8,2.8,1.8,1.1,1.1,1.1,1.1,4.3407,4.3407,7.4167,11.8138,11.8138,11.8138,11.8138,39.098,39.098,207.2,79.904,79.904,79.904,79.904,336.5,336.5,600.75,266.05,266.05,266.05,266.05,-0.398869401
37,37,82,35,35,35,35,48,48,125,45,45,45,45,5,5,6,4,4,4,4,0.363,0.363,0.129,0.474,0.474,0.474,0.474,1.53,1.53,11.3,3.12,3.12,3.12,3.12,3,3,1.8,1.1,1.1,1.1,1.1,4.1771,4.1771,7.4167,11.8138,11.8138,11.8138,11.8138,85.468,85.468,207.2,79.904,79.904,79.904,79.904,312.79,312.79,600.75,266.05,266.05,266.05,266.05,-0.401742383
55,55,82,35,35,35,35,78,78,125,45,45,45,45,6,6,6,4,4,4,4,0.242,0.242,0.129,0.474,0.474,0.474,0.474,1.87,1.87,11.3,3.12,3.12,3.12,3.12,3.3,3.3,1.8,1.1,1.1,1.1,1.1,3.8939,3.8939,7.4167,11.8138,11.8138,11.8138,11.8138,132.905,132.905,207.2,79.904,79.904,79.904,79.904,301.7,301.7,600.75,266.05,266.05,266.05,266.05,-0.455228652
3,3,32,53,53,53,53,4,4,41,74,74,74,74,2,2,4,5,5,5,5,3.582,3.582,0.32,0.214,0.214,0.214,0.214,0.534,0.534,5.32,4.93,4.93,4.93,4.93,2.1,2.1,1.5,1.3,1.3,1.3,1.3,5.3917,5.3917,7.8994,10.4513,10.4513,10.4513,10.4513,6.941,6.941,72.64,126.904,126.904,126.904,126.904,453.85,453.85,1211.45,386.65,386.65,386.65,386.65,0.078811424
11,11,32,53,53,53,53,12,12,41,74,74,74,74,3,3,4,5,5,5,5,1.228,1.228,0.32,0.214,0.214,0.214,0.214,0.971,0.971,5.32,4.93,4.93,4.93,4.93,2.2,2.2,1.5,1.3,1.3,1.3,1.3,5.1391,5.1391,7.8994,10.4513,10.4513,10.4513,10.4513,22.99,22.99,72.64,126.904,126.904,126.904,126.904,371.15,371.15,1211.45,386.65,386.65,386.65,386.65,-0.324864103
